timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue
2025-11-24T13:11:06,Qwen__Qwen2.5-1.5B-Instruct,b3c04421-5466-44b0-b82c-a408455cd19a,front_running/ERC20.sol,128.88226250000116,0.004853028312666,3.765474176608282e-05,390.0,0.0,20.0,0.0139584291275004,0.0,0.0007157897316666,0.0146742188591671,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-24T13:17:24,Qwen__Qwen2.5-1.5B-Instruct,dd14282c-cecf-42ae-9afd-6da97eafbd83,front_running/eth_tx_order_dependence_minimal.sol,365.7626363999989,0.0137725455936588,3.765432612038917e-05,390.0,0.0,20.0,0.0396130233091671,0.0,0.0020313552661111,0.0416443785752782,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-24T13:21:15,Qwen__Qwen2.5-1.5B-Instruct,c5f33735-9d24-4875-ab81-f9a56e9c2107,front_running/FindThisHash.sol,156.96892579999985,0.0059104149887024,3.765340788681378e-05,390.0,0.0,20.0,0.0169997372458333,0.0,0.0008717272305555,0.0178714644763889,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-24T13:25:59,Qwen__Qwen2.5-1.5B-Instruct,51d08bf6-bb30-418b-863c-22b2f2f42d30,front_running/odds_and_evens.sol,267.9378333000004,0.0100891047293966,3.765464774099384e-05,390.0,0.0,20.0,0.0290185927416665,0.0,0.0014880767755555,0.030506669517222,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-24T13:43:00,Qwen__Qwen2.5-1.5B-Instruct,08751485-27b8-454b-ac30-136c6ed1060a,front_running/ERC20.sol,232.89587329999995,0.0087695226801832,3.7654263924577765e-05,390.0,0.0,20.0,0.0252231776441668,0.0,0.0012934397766666,0.0265166174208335,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-24T13:46:28,Qwen__Qwen2.5-1.5B-Instruct,86a9f636-3b61-4045-9d62-1a7e652b26e8,front_running/eth_tx_order_dependence_minimal.sol,191.7806570000012,0.0072212657910409,3.765377543284208e-05,390.0,0.0,20.0,0.0207700387158331,0.0,0.001065076975,0.0218351156908331,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-24T13:50:14,Qwen__Qwen2.5-1.5B-Instruct,485e8a5f-dce8-455e-99be-f6eb809916ed,front_running/FindThisHash.sol,193.5361128000004,0.0072874856104243,3.765439692361276e-05,390.0,0.0,20.0,0.0209604918033335,0.0,0.0010748543538889,0.0220353461572224,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-24T13:53:43,Qwen__Qwen2.5-1.5B-Instruct,7ce2b830-aafb-4144-9253-cf50e1d2e7b2,front_running/odds_and_evens.sol,183.0609081999992,0.0068930566043765,3.765444338802064e-05,390.0,0.0,20.0,0.0198260216374998,0.0,0.0010166800127777,0.0208427016502776,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T12:30:35,Qwen__Qwen2.5-1.5B-Instruct,1786ac33-a8db-4562-8327-f255d49ba943,front_running/ERC20.sol,201.0928659000001,0.0075719747668444,3.765411931922972e-05,390.0,0.0,20.0,0.0217787455274999,0.0,0.0011168173594444,0.0228955628869443,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T12:34:14,Qwen__Qwen2.5-1.5B-Instruct,ced8e1b3-f48d-420c-9e37-06b64dd0acec,front_running/eth_tx_order_dependence_minimal.sol,176.75917769999978,0.0066557574823388,3.765438133931111e-05,390.0,0.0,20.0,0.0191434953233332,0.0,0.0009816792433333,0.0201251745666666,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T12:43:12,Qwen__Qwen2.5-1.5B-Instruct,93af09dc-c09a-4d74-8109-f04e4bbcf923,front_running/ERC20.sol,102.69831330000034,0.0038669792068232,3.765377524290096e-05,390.0,0.0,20.0,0.0111223238099999,0.0,0.000570354565,0.0116926783749999,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T12:47:31,Qwen__Qwen2.5-1.5B-Instruct,fa48d614-1f0a-4e4f-86ba-20544ee45b95,front_running/eth_tx_order_dependence_minimal.sol,247.9397949000004,0.0093360527803626,3.7654515218616233e-05,390.0,0.0,20.0,0.0268526407500001,0.0,0.0013770074105555,0.0282296481605556,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T12:51:26,Qwen__Qwen2.5-1.5B-Instruct,bb38edc3-55b8-4326-96b1-e71ee30ddd55,front_running/FindThisHash.sol,221.4607760999997,0.0083389056184636,3.765409733188244e-05,390.0,0.0,20.0,0.0239846191324997,0.0,0.0012299310838888,0.0252145502163886,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T12:55:28,Qwen__Qwen2.5-1.5B-Instruct,5fdb59da-3390-4f23-a4a8-0211a9adc557,front_running/odds_and_evens.sol,225.2973422000005,0.0084833821351504,3.765415984188413e-05,390.0,0.0,20.0,0.0244001675124999,0.0,0.0012512398349999,0.0256514073474999,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T13:18:52,Qwen__Qwen2.5-1.5B-Instruct,fa55a13a-f956-436e-abd3-08264d9364b0,time_manipulation/ether_lotto.sol,267.07577540000057,0.0100565686858506,3.765436483630488e-05,390.0,0.0,20.0,0.0289250084608338,0.0,0.0014832810361111,0.0304082894969449,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T13:22:10,Qwen__Qwen2.5-1.5B-Instruct,d145a80f-4358-4ea5-8bd8-f65fead57185,time_manipulation/governmental_survey.sol,165.2916363000004,0.0062238887914316,3.765398498527431e-05,390.0,0.0,20.0,0.0179013442724999,0.0,0.0009179785083333,0.0188193227808333,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T13:28:46,Qwen__Qwen2.5-1.5B-Instruct,b104b63d-3147-4e8f-aee7-d61af6bae622,time_manipulation/lottopollo.sol,255.5504352999997,0.0096226193584358,3.7654482361336965e-05,390.0,0.0,20.0,0.0276768801725001,0.0,0.0014192662677777,0.0290961464402778,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T13:33:50,Qwen__Qwen2.5-1.5B-Instruct,a9b90697-1791-4fbd-94ee-0a95ec8b5847,time_manipulation/roulette.sol,272.0918160000001,0.0102453125538007,3.765387987193527e-05,390.0,0.0,20.0,0.0294678886666669,0.0,0.00151111022,0.0309789988866669,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-25T13:37:42,Qwen__Qwen2.5-1.5B-Instruct,a1322dbd-1f7e-4b1b-9187-8e9226b25b90,time_manipulation/timed_crowdsale.sol,174.0228385999999,0.0065526875139817,3.765418129423479e-05,390.0,0.0,20.0,0.0188470415574997,0.0,0.0009664778577777,0.0198135194152775,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T15:29:41,Qwen__Qwen2.5-1.5B-Instruct,c99e0f80-a2f9-4fc4-8265-66bba1b2082b,denial_of_service/auction.sol,319.1606633000001,0.012017714321296,3.765412127245705e-05,390.0,0.0,20.0,0.0345657225766665,0.0,0.0017725303194444,0.036338252896111,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T15:33:32,Qwen__Qwen2.5-1.5B-Instruct,b8879de6-42d7-4f3d-8d91-63b2f4c41fb7,denial_of_service/dos_address.sol,188.41325549999965,0.0070945372144845,3.765412999025738e-05,390.0,0.0,20.0,0.0204055304158336,0.0,0.0010463930188889,0.0214519234347225,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T15:37:57,Qwen__Qwen2.5-1.5B-Instruct,2a69f279-fff4-4515-ba85-aae1f9b75a70,denial_of_service/dos_number.sol,180.21258250000028,0.0067857373645487,3.765407093341396e-05,390.0,0.0,20.0,0.0195173476225002,0.0,0.0010008502516666,0.0205181978741668,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T15:41:15,Qwen__Qwen2.5-1.5B-Instruct,c9d21bae-7beb-4a6d-9c5f-dcd52ab5c09e,denial_of_service/dos_simple.sol,183.69303500000024,0.0069167822020792,3.765402538032647e-05,390.0,0.0,20.0,0.0198942640866665,0.0,0.0010201772261111,0.0209144413127776,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T15:44:24,Qwen__Qwen2.5-1.5B-Instruct,8dbfb878-f4ca-4a23-8a0d-a110a780eea4,denial_of_service/list_dos.sol,176.17132840000068,0.0066336390193217,3.765447578541229e-05,390.0,0.0,20.0,0.0190798768766665,0.0,0.0009784175594444,0.0200582944361109,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T15:49:40,Qwen__Qwen2.5-1.5B-Instruct,1fd3f89a-2e16-45c6-897e-2d0e4523a671,denial_of_service/send_loop.sol,303.5777374999998,0.0114309115210718,3.765398482512867e-05,390.0,0.0,20.0,0.0328779424349998,0.0,0.0016859806688888,0.0345639231038887,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T16:21:41,Qwen__Qwen2.5-1.5B-Instruct,32b4e723-4900-466d-a825-e0ea12d8cfe0,denial_of_service/auction.sol,361.7539115999998,0.0136215647853423,3.765422943209e-05,390.0,0.0,20.0,0.0391787756966666,0.0,0.0020090785638888,0.0411878542605555,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T16:25:05,Qwen__Qwen2.5-1.5B-Instruct,cb589a6f-14c3-4f2c-ad5a-1491d3c3e315,denial_of_service/dos_address.sol,184.00397520000024,0.0069285441731426,3.7654317878794605e-05,390.0,0.0,20.0,0.0199280965108336,0.0,0.0010219097577777,0.0209500062686114,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T16:28:37,Qwen__Qwen2.5-1.5B-Instruct,3abd794d-92fe-4dd1-879c-928d8a9c3e37,denial_of_service/dos_number.sol,197.86569660000168,0.007450522483541,3.765444244033232e-05,390.0,0.0,20.0,0.0214294259616658,0.0,0.0010988987244444,0.0225283246861102,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T16:32:59,Qwen__Qwen2.5-1.5B-Instruct,4e484b4e-85a4-4784-88cd-30fb4af6252c,denial_of_service/dos_simple.sol,245.35197509999853,0.0092385162592658,3.76541344552065e-05,390.0,0.0,20.0,0.0265721082250004,0.0,0.0013626164022222,0.0279347246272226,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T16:37:49,Qwen__Qwen2.5-1.5B-Instruct,aa3ccafa-74ac-4bc0-947f-a80a3799fd43,denial_of_service/list_dos.sol,271.2342210000006,0.010213073738096,3.765407514008354e-05,390.0,0.0,20.0,0.0293751602841664,0.0,0.0015063573172222,0.0308815176013886,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-26T16:40:46,Qwen__Qwen2.5-1.5B-Instruct,0cfe1320-36fe-4a9e-a4e6-9d8762d6cb50,denial_of_service/send_loop.sol,149.63158609999846,0.005634256541259,3.765419246103373e-05,390.0,0.0,20.0,0.0162054250691669,0.0,0.0008310124433333,0.0170364375125003,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-27T15:30:34,Qwen__Qwen2.5-1.5B-Instruct,27ff062f-4bbf-404b-a76e-c196ce6ad8cc,denial_of_service/auction.sol,258.8564067999996,0.0097471022470525,3.765447557411045e-05,390.0,0.0,20.0,0.0280349168883332,0.0,0.0014376314672222,0.0294725483555554,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-27T15:35:02,Qwen__Qwen2.5-1.5B-Instruct,40b616c6-cb17-48dc-84d3-1e741d2494b7,denial_of_service/dos_address.sol,218.67811989999973,0.0082342412499014,3.765461882362482e-05,390.0,0.0,20.0,0.0236835778508334,0.0,0.0012144961877777,0.0248980740386111,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-27T15:38:27,Qwen__Qwen2.5-1.5B-Instruct,9d1cc102-dec1-4049-afb9-70ded8fdb7f9,denial_of_service/dos_number.sol,153.3950633000004,0.0057759514890737,3.7654089804555694e-05,390.0,0.0,20.0,0.016612971115,0.0,0.0008519128316666,0.0174648839466667,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-27T15:43:20,Qwen__Qwen2.5-1.5B-Instruct,5789bb96-c1f8-405b-b765-a970d6e402c2,denial_of_service/dos_simple.sol,280.0918979999988,0.0105466963708104,3.76544143051594e-05,390.0,0.0,20.0,0.0303347430316659,0.0,0.0015555573777777,0.0318903004094436,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-27T15:50:50,Qwen__Qwen2.5-1.5B-Instruct,69e2fcfe-e781-4f2c-8ec2-44a152f185ce,denial_of_service/list_dos.sol,426.712718499999,0.0160674732960057,3.765407638302168e-05,390.0,0.0,20.0,0.0462137873708331,0.0,0.0023698194966666,0.0485836068674997,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-27T15:56:40,Qwen__Qwen2.5-1.5B-Instruct,16f5a632-4471-449a-b620-3473a80898e8,denial_of_service/send_loop.sol,298.5048812999994,0.0112398299387641,3.7653755911174136e-05,390.0,0.0,20.0,0.0323283709558322,0.0,0.0016577741549999,0.0339861451108321,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-28T16:33:48,Qwen__Qwen2.5-1.5B-Instruct,7670ad7a-1d17-44c3-9fec-3d22f616afb7,denial_of_service/auction.sol,160.30276939999976,0.006035990365924,3.765368738491708e-05,390.0,0.0,20.0,0.0173609033758333,0.0,0.0008902663999999,0.0182511697758333,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-28T16:37:49,Qwen__Qwen2.5-1.5B-Instruct,027028f5-8b3d-404c-9d3e-d908f4958808,denial_of_service/dos_address.sol,211.74681599999985,0.0079731794948895,3.765430642834096e-05,390.0,0.0,20.0,0.0229327050658333,0.0,0.0011759902422222,0.0241086953080555,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-28T16:42:23,Qwen__Qwen2.5-1.5B-Instruct,b1f43010-65de-4f88-9818-0cc324ae1492,denial_of_service/dos_number.sol,259.6345741,0.0097764134675569,3.765451308419166e-05,390.0,0.0,20.0,0.0281192177283334,0.0,0.0014419596722222,0.0295611774005556,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-28T16:46:13,Qwen__Qwen2.5-1.5B-Instruct,36f734c2-6874-49b4-9115-8651ab36aca6,denial_of_service/dos_simple.sol,206.00889169999985,0.007757080562984,3.765410560181182e-05,390.0,0.0,20.0,0.0223111571583334,0.0,0.0011441145927777,0.0234552717511112,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.9492416381836,machine,N,1.0,0.0
2025-11-28T16:50:29,Qwen__Qwen2.5-1.5B-Instruct,58101f83-af01-497b-9007-118cec1b3041,denial_of_service/list_dos.sol,219.674133,0.0082717392044247,3.765458905634902e-05,390.0,0.0,20.0,0.0237914339866667,0.0,0.0012200235222222,0.025011457508889,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.949241638183597,machine,N,1.0,0.0
2025-11-28T16:55:47,Qwen__Qwen2.5-1.5B-Instruct,3f046240-53c8-4b5c-9b3a-8a17b35037c0,denial_of_service/send_loop.sol,286.6399287999998,0.01079316082271555,3.7654073066165086e-05,390.0,0.0,20.0,0.031043623845000187,0.0,0.0015919170772222115,0.03263554092222241,0.0,Italy,ITA,campania,,,Windows-10-10.0.26100-SP0,3.11.0,3.0.9,12,AMD Ryzen 5 5600 6-Core Processor,1,1 x NVIDIA GeForce GTX 950,14.7763,40.748,31.949241638183594,machine,N,1.0,0.0
